id;designation;stock;nb_points;description
1;Buckinghamshire;39041;8934;online
2;maroon copy;95094;18789;Kuwait Sleek backing up
3;compress;72906;51291;Cocos (Keeling) Islands visualize
4;e-business microchip fuchsia;25864;62389;PCI
5;generating;54931;90605;Principal Egypt
6;alliance bifurcated;35625;82178;program Trail Sports
7;Factors port indexing;53611;9452;magenta
8;maroon;24738;3596;Pakistan Rupee Incredible Fresh Computer online
9;optical Virginia XSS;4607;83130;systematic grow
10;matrix Personal Loan Account;20841;25406;Small Wooden Chips lime
